                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70685,                0.75758,                      1,                0.61359,              0.0002312,              0.0002312,              0.0002312
                      2,                0.40063,                0.87879,                      1,                0.60654,             0.00042275,             0.00042275,             0.00042275
                      3,                0.26965,                0.95455,                      1,                 0.3624,             0.00056717,             0.00056717,             0.00056717
                      4,                0.21053,                0.86364,                      1,                 0.4457,             0.00050194,             0.00050194,             0.00050194
                      5,                0.18019,                0.90909,                      1,                0.38673,             0.00043126,             0.00043126,             0.00043126
                      6,                0.14307,                0.87879,                      1,                0.53851,             0.00036057,             0.00036057,             0.00036057
                      7,                0.15411,                0.87879,                      1,                  0.393,             0.00028988,             0.00028988,             0.00028988
                      8,                0.16334,                0.87879,                      1,                0.51054,              0.0002192,              0.0002192,              0.0002192
                      9,                0.12167,                0.89394,                      1,                0.47626,             0.00014851,             0.00014851,             0.00014851
                     10,                0.12211,                0.92424,                      1,                0.38305,             7.7826e-05,             7.7826e-05,             7.7826e-05
